time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.9932887683369975,1.8817180171670298e+18,0.0,7.137252628825274e+18,1.495590962860982e+20,0.0,0.0,0.0,0,0
1.0,1.4849000000000048,1.8817180171670298e+18,1793.6125905791228,7.137252628825244e+18,1.4955909628609816e+20,18432.0,1e+17,5000000000000000.0,325,325
2.0,1.4773010000000029,1.8817180171670298e+18,3587.2251811582455,7.137252628825213e+18,1.4955909628609813e+20,36864.0,1.5e+17,9950000000000000.0,325,325
3.0,1.473452990000001,1.8817180171670298e+18,5380.837771737368,7.137252628825182e+18,1.495590962860981e+20,55296.0,1.75e+17,1.48505e+16,325,325
4.0,1.4714809600999994,1.8817180171670298e+18,7174.450362316491,7.137252628825151e+18,1.4955909628609806e+20,73728.0,1.875e+17,1.9701995e+16,325,325
5.0,1.4695099004989975,1.8817180171670298e+18,8968.062952895614,7.137252628825121e+18,1.4955909628609803e+20,92160.0,2e+17,2.450497505e+16,325,325
6.0,1.4694148014940056,1.8817180171670298e+18,10761.675543474737,7.13725262882509e+18,1.49559096286098e+20,110592.0,2e+17,2.92599252995e+16,325,325
7.0,1.4693206534790637,1.8817180171670298e+18,12555.28813405386,7.137252628825059e+18,1.4955909628609797e+20,129024.0,2e+17,3.3967326046505e+16,325,325
8.0,1.4692274469442712,1.8817180171670298e+18,14348.900724632984,7.137252628825029e+18,1.4955909628609793e+20,147456.0,2e+17,3.862765278603995e+16,325,325
9.0,1.4691351724748267,1.8817180171670298e+18,16142.513315212107,7.137252628824998e+18,1.495590962860979e+20,165888.0,2e+17,4.324137625817955e+16,325,325
10.0,1.4690438207500762,1.8817180171670298e+18,17936.12590579123,7.137252628824967e+18,1.4955909628609787e+20,184320.0,2e+17,4.780896249559776e+16,325,325
